episode,score,length
872,340.0,443
873,400.0,527
874,1230.0,825
875,430.0,527
876,500.0,595
877,810.0,841
878,380.0,473
879,230.0,379
880,270.0,365
881,270.0,347
882,510.0,509
883,550.0,533
884,750.0,681
885,370.0,473
886,320.0,405
887,380.0,451
888,550.0,619
889,370.0,487
890,280.0,445
891,440.0,497
892,390.0,483
893,430.0,673
894,280.0,459
895,400.0,477
896,310.0,473
897,340.0,399
898,1180.0,825
899,390.0,429
900,250.0,511
901,620.0,733
902,380.0,515
903,250.0,375
904,430.0,617
905,500.0,661
906,430.0,557
907,710.0,651
908,440.0,541
909,620.0,789
910,1080.0,739
911,270.0,455
912,890.0,809
913,580.0,581
914,950.0,769
915,330.0,441
916,360.0,773
917,490.0,473
918,640.0,889
919,400.0,489
920,1080.0,887
921,360.0,525
922,670.0,579
923,420.0,513
924,730.0,589
925,820.0,613
926,380.0,451
927,1900.0,1369
928,420.0,511
929,260.0,383
930,260.0,437
931,230.0,421
932,320.0,431
933,500.0,541
934,230.0,361
935,300.0,455
936,270.0,405
937,300.0,429
938,730.0,651
939,330.0,493
940,440.0,555
941,450.0,547
942,330.0,425
943,360.0,487
944,870.0,655
945,640.0,529
946,1010.0,633
947,390.0,397
948,700.0,691
949,420.0,435
950,270.0,319
951,360.0,515
952,370.0,439
953,310.0,425
954,2180.0,777
955,450.0,503
956,990.0,665
957,400.0,439
958,170.0,347
959,410.0,489
960,470.0,481
961,350.0,399
962,210.0,405
963,630.0,673
964,700.0,531
965,440.0,431
966,1060.0,549
967,920.0,903
968,680.0,555
969,610.0,597
970,830.0,763
971,440.0,503
972,250.0,367
973,790.0,617
974,650.0,589
975,530.0,633
976,570.0,711
977,700.0,901
978,530.0,561
979,370.0,489
980,1370.0,911
981,1190.0,757
982,620.0,521
983,490.0,473
984,1530.0,881
985,310.0,701
986,530.0,425
987,350.0,525
988,1140.0,747
989,1430.0,1063
990,240.0,339
991,490.0,471
992,570.0,709
993,290.0,325
994,340.0,457
995,790.0,657
996,770.0,631
997,610.0,581
998,710.0,521
999,290.0,439
1000,610.0,519
